shape,hand,shape_name,ukeire_tiles,ukeire_type_count,ukeire_count,fixed_ryanmen_count,improve_neighbor_count,max_neighbor_ukeire_count,avg_neighbor_ukeire_count,score,distance_to_final,neighbor_count,neighbors
244449m,244449m33z,メンツ＋ターツ＋不要牌,3m,1,4,0,4,8,5.000000,"(4, 1, 4, 8, 5)",2,16,124444m 124449m 224444m 224449m 244445m 244446m 244447m 244448m 244479m 244489m 244499m 444459m 444469m 444479m 444489m 444499m
244457m,244457m33z,メンツ＋ターツ＋不要牌,6m,1,4,0,11,14,6.350000,"(4, 1, 11, 14, 6.35)",1,20,124445m 124447m 144457m 224445m 224447m 234445m 234447m 234457m 244445m 244447m 244455m 244477m 244478m 244479m 344457m 444457m 444557m 444577m 444578m 444579m
244468m,244468m33z,メンツ＋ターツ＋不要牌,7m,1,4,0,9,11,5.904762,"(4, 1, 9, 11, 5.90476)",1,21,124446m 124448m 144468m 224446m 224448m 234446m 234448m 234468m 244446m 244448m 244456m 244466m 244488m 244489m 244568m 344468m 444468m 444568m 444668m 444688m 444689m
244479m,244479m33z,メンツ＋ターツ＋不要牌,8m,1,4,0,7,8,5.300000,"(4, 1, 7, 8, 5.3)",2,20,124447m 124449m 144479m 224447m 224449m 234447m 234449m 234479m 244447m 244449m 244457m 244467m 244477m 244499m 344479m 444479m 444579m 444679m 444779m 444799m
244489m,244489m33z,メンツ＋ターツ＋不要牌,7m,1,4,0,4,8,4.736842,"(4, 1, 4, 8, 4.73684)",1,19,124448m 124449m 144489m 224448m 224449m 234448m 234449m 234489m 244448m 244449m 244468m 244488m 244499m 344489m 444489m 444589m 444689m 444889m 444899m
244568m,244568m33z,メンツ＋ターツ＋不要牌,3m,1,4,0,11,15,6.476190,"(4, 1, 11, 15, 6.47619)",1,21,124456m 124568m 224456m 224568m 244456m 244468m 244556m 244566m 244567m 244569m 244678m 245668m 245678m 245688m 245689m 444568m 445568m 445668m 445678m 445688m 445689m
244569m,244569m33z,メンツ＋ターツ＋不要牌,3m,1,4,0,9,11,5.888889,"(4, 1, 9, 11, 5.88889)",2,18,124456m 124569m 224456m 224569m 244456m 244556m 244566m 244567m 244568m 245679m 245689m 245699m 444569m 445569m 445669m 445679m 445689m 445699m
245557m,245557m33z,メンツ＋ターツ＋不要牌,3m,1,4,0,10,14,6.047619,"(4, 1, 10, 14, 6.04762)",1,21,124555m 125557m 224555m 225557m 244555m 245555m 245556m 245558m 245559m 245567m 255557m 255567m 255577m 255578m 255579m 445557m 455557m 455567m 455577m 455578m 455579m
245558m,245558m33z,メンツ＋ターツ＋不要牌,3m,1,4,0,8,8,5.578947,"(4, 1, 8, 8, 5.57895)",2,19,124555m 125558m 224555m 225558m 244555m 245555m 245556m 245557m 245559m 255568m 255578m 255588m 255589m 445558m 455558m 455568m 455578m 455588m 455589m
245559m,245559m33z,メンツ＋ターツ＋不要牌,3m,1,4,0,5,8,5.000000,"(4, 1, 5, 8, 5)",2,18,124555m 125559m 224555m 225559m 244555m 245555m 245556m 245557m 245558m 255579m 255589m 255599m 445559m 455559m 455569m 455579m 455589m 455599m
245668m,245668m33z,メンツ＋ターツ＋不要牌,7m,1,4,0,11,15,6.476190,"(4, 1, 11, 15, 6.47619)",1,21,124566m 124568m 145668m 224566m 224568m 234566m 234568m 234668m 244566m 244568m 245566m 245666m 245688m 245689m 246668m 345668m 445668m 455668m 456668m 456688m 456689m
245689m,245689m33z,メンツ＋ターツ＋不要牌,7m,1,4,0,4,11,5.100000,"(4, 1, 4, 11, 5.1)",1,20,124568m 124569m 145689m 224568m 224569m 234568m 234569m 234589m 234689m 244568m 244569m 245668m 245688m 245699m 345689m 445689m 455689m 456689m 456889m 456899m
246667m,246667m33z,メンツ＋ターツ＋不要牌,3m,1,4,0,11,14,6.409091,"(4, 1, 11, 14, 6.40909)",1,22,124666m 126667m 224666m 226667m 244666m 245666m 245667m 246666m 246668m 246669m 246678m 256667m 266667m 266677m 266678m 266679m 446667m 456667m 466667m 466677m 466678m 466679m
246668m,246668m33z,メンツ＋ターツ＋不要牌,3m,1,4,0,9,11,5.904762,"(4, 1, 9, 11, 5.90476)",1,21,124666m 126668m 224666m 226668m 244666m 245666m 245668m 246666m 246667m 246669m 246678m 266668m 266678m 266688m 266689m 446668m 456668m 466668m 466678m 466688m 466689m
246669m,246669m33z,メンツ＋ターツ＋不要牌,3m,1,4,0,5,8,5.000000,"(4, 1, 5, 8, 5)",1,18,124666m 126669m 224666m 226669m 244666m 245666m 246666m 246667m 246668m 266679m 266689m 266699m 446669m 456669m 466669m 466679m 466689m 466699m
