from,to,change,from_score,to_score,from_ukeire_count,to_ukeire_count,from_fixed_ryanmen_count,to_fixed_ryanmen_count
444669m,444466m,ツモ4m / 打9m,"(4, 2, 6, 12, 6.30769)","(8, 3, 1, 12, 6.33333)",4,8,0,0
444669m,444566m,ツモ5m / 打9m,"(4, 2, 6, 12, 6.30769)","(12, 5, 1, 14, 6.73333)",4,12,0,1
444669m,444667m,ツモ7m / 打9m,"(4, 2, 6, 12, 6.30769)","(12, 4, 0, 12, 6.90909)",4,12,0,1
444669m,444668m,ツモ8m / 打9m,"(4, 2, 6, 12, 6.30769)","(8, 3, 1, 12, 5.85714)",4,8,0,0
444679m,444667m,ツモ6m / 打9m,"(8, 2, 2, 12, 6.66667)","(12, 4, 0, 12, 6.90909)",8,12,1,1
444679m,444677m,ツモ7m / 打9m,"(8, 2, 2, 12, 6.66667)","(12, 4, 0, 12, 6.90909)",8,12,1,1
444689m,444468m,ツモ4m / 打9m,"(4, 1, 7, 8, 5.36842)","(8, 2, 0, 8, 5.6)",4,8,0,0
444689m,444568m,ツモ5m / 打9m,"(4, 1, 7, 8, 5.36842)","(7, 3, 7, 16, 6.86364)",4,7,0,1
444689m,444668m,ツモ6m / 打9m,"(4, 1, 7, 8, 5.36842)","(8, 3, 1, 12, 5.85714)",4,8,0,0
444689m,444688m,ツモ8m / 打9m,"(4, 1, 7, 8, 5.36842)","(8, 3, 0, 8, 5.07143)",4,8,0,0
444689m,444899m,ツモ9m / 打6m,"(4, 1, 7, 8, 5.36842)","(8, 3, 0, 8, 4.30769)",4,8,0,0
444699m,444569m,ツモ5m / 打9m,"(4, 2, 4, 8, 5.15385)","(7, 3, 4, 16, 6.47368)",4,7,0,1
444699m,444679m,ツモ7m / 打9m,"(4, 2, 4, 8, 5.15385)","(8, 2, 2, 12, 6.66667)",4,8,0,1
444699m,444899m,ツモ8m / 打6m,"(4, 2, 4, 8, 5.15385)","(8, 3, 0, 8, 4.30769)",4,8,0,0
444779m,444677m,ツモ6m / 打9m,"(8, 3, 1, 12, 5.84615)","(12, 4, 0, 12, 6.90909)",8,12,0,1
444799m,444679m,ツモ6m / 打9m,"(8, 3, 0, 8, 4.92308)","(8, 2, 2, 12, 6.66667)",8,8,0,1
445556m,455567m,ツモ7m / 打4m,"(12, 5, 1, 14, 6.46667)","(14, 5, 0, 12, 7.11765)",12,14,1,1
445557m,244555m,ツモ2m / 打7m,"(4, 2, 10, 16, 8.1875)","(8, 3, 2, 12, 6.14286)",4,8,0,0
445557m,344555m,ツモ3m / 打7m,"(4, 2, 10, 16, 8.1875)","(16, 6, 0, 11, 6.33333)",4,16,0,1
445557m,445555m,ツモ5m / 打7m,"(4, 2, 10, 16, 8.1875)","(12, 4, 0, 8, 6.4)",4,12,0,1
445557m,455567m,ツモ6m / 打4m,"(4, 2, 10, 16, 8.1875)","(14, 5, 0, 12, 7.11765)",4,14,0,1
445557m,455578m,ツモ8m / 打4m,"(4, 2, 10, 16, 8.1875)","(8, 2, 3, 12, 7.17647)",4,8,0,1
445558m,244555m,ツモ2m / 打8m,"(4, 2, 10, 16, 7.25)","(8, 3, 2, 12, 6.14286)",4,8,0,0
445558m,344555m,ツモ3m / 打8m,"(4, 2, 10, 16, 7.25)","(16, 6, 0, 11, 6.33333)",4,16,0,1
445558m,445555m,ツモ5m / 打8m,"(4, 2, 10, 16, 7.25)","(12, 4, 0, 8, 6.4)",4,12,0,1
445558m,445556m,ツモ6m / 打8m,"(4, 2, 10, 16, 7.25)","(12, 5, 1, 14, 6.46667)",4,12,0,1
445558m,455578m,ツモ7m / 打4m,"(4, 2, 10, 16, 7.25)","(8, 2, 3, 12, 7.17647)",4,8,0,1
445559m,244555m,ツモ2m / 打9m,"(4, 2, 8, 16, 6.75)","(8, 3, 2, 12, 6.14286)",4,8,0,0
445559m,344555m,ツモ3m / 打9m,"(4, 2, 8, 16, 6.75)","(16, 6, 0, 11, 6.33333)",4,16,0,1
445559m,445555m,ツモ5m / 打9m,"(4, 2, 8, 16, 6.75)","(12, 4, 0, 8, 6.4)",4,12,0,1
445559m,445556m,ツモ6m / 打9m,"(4, 2, 8, 16, 6.75)","(12, 5, 1, 14, 6.46667)",4,12,0,1
445567m,455567m,ツモ5m / 打4m,"(11, 4, 4, 15, 8.82353)","(14, 5, 0, 12, 7.11765)",11,14,1,1
445567m,455678m,ツモ8m / 打4m,"(11, 4, 4, 15, 8.82353)","(15, 5, 0, 15, 9.26667)",11,15,1,1
445568m,444556m,ツモ4m / 打8m,"(7, 2, 5, 16, 7.76471)","(16, 6, 0, 11, 6.33333)",7,16,1,1
445568m,445556m,ツモ5m / 打8m,"(7, 2, 5, 16, 7.76471)","(12, 5, 1, 14, 6.46667)",7,12,1,1
445568m,455678m,ツモ7m / 打4m,"(7, 2, 5, 16, 7.76471)","(15, 5, 0, 15, 9.26667)",7,15,1,1
445569m,444556m,ツモ4m / 打9m,"(7, 2, 5, 16, 6.88235)","(16, 6, 0, 11, 6.33333)",7,16,1,1
445569m,445556m,ツモ5m / 打9m,"(7, 2, 5, 16, 6.88235)","(12, 5, 1, 14, 6.46667)",7,12,1,1
445569m,445567m,ツモ7m / 打9m,"(7, 2, 5, 16, 6.88235)","(11, 4, 4, 15, 8.82353)",7,11,1,1
445666m,456667m,ツモ7m / 打4m,"(12, 5, 1, 14, 6.73333)","(14, 5, 0, 12, 7.11765)",12,14,1,1
445667m,344567m,ツモ3m / 打6m,"(11, 4, 4, 15, 8.58824)","(15, 5, 0, 15, 9.1875)",11,15,1,1
445667m,345667m,ツモ3m / 打4m,"(11, 4, 4, 15, 8.58824)","(15, 5, 0, 15, 9.1875)",11,15,1,1
445667m,456667m,ツモ6m / 打4m,"(11, 4, 4, 15, 8.58824)","(14, 5, 0, 12, 7.11765)",11,14,1,1
445668m,344566m,ツモ3m / 打8m,"(7, 2, 8, 12, 6.78947)","(11, 4, 4, 15, 8.58824)",7,11,0,1
445668m,444566m,ツモ4m / 打8m,"(7, 2, 8, 12, 6.78947)","(12, 5, 1, 14, 6.73333)",7,12,0,1
445668m,445666m,ツモ6m / 打8m,"(7, 2, 8, 12, 6.78947)","(12, 5, 1, 14, 6.73333)",7,12,0,1
445668m,456688m,ツモ8m / 打4m,"(7, 2, 8, 12, 6.78947)","(8, 3, 1, 11, 5.66667)",7,8,0,0
445669m,244566m,ツモ2m / 打9m,"(3, 1, 19, 12, 6.55)","(7, 2, 8, 12, 6.78947)",3,7,0,0
